City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
298,Praia,CV,75.2,overcast clouds,14.92,-23.51,LT Aparthotel
305,Puerto Escondido,MX,80.24,overcast clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
306,Tagusao,PH,85.82,scattered clouds,9.19,117.81,"Shaman's Breath- Beach, Bed & Breakfast"
309,Isangel,VU,76.28,few clouds,-19.55,169.27,Volcano Sea View Tree House
312,Urusha,RU,92.34,scattered clouds,54.05,122.9,Dom Otdykha Lokomotivnykh Brigad
314,Saquarema,BR,75.2,overcast clouds,-22.92,-42.51,Hotel Fazenda Sol e Lua
318,Itarema,BR,77.05,few clouds,-2.92,-39.92,Windvillage
323,Tautira,PF,80.6,broken clouds,-17.73,-149.15,Pension Oaoa
324,Lazaro Cardenas,MX,80.42,overcast clouds,17.96,-102.2,Hotel Quinta Antigua
326,Nizhniy Tsasuchey,RU,77.79,broken clouds,50.52,115.13,
329,Saint-Georges,GD,77.0,light rain,12.06,-61.75,Radisson Grenada Beach Resort
330,Laguna,US,93.99,clear sky,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
331,Linqing,CN,83.03,clear sky,36.85,115.71,Dongfang Hotel
333,Jesup,US,82.4,clear sky,31.61,-81.89,Western Motel
334,San Patricio,MX,80.6,broken clouds,19.22,-104.7,Hotel Cabo Blanco
336,Jiuquan,CN,88.5,overcast clouds,39.74,98.52,Jiuquan Hotel
339,Fuerte Olimpo,PY,80.11,overcast clouds,-21.04,-57.87,Hotel Fuerte Olimpo
345,La Palma,US,84.99,clear sky,33.85,-118.05,La Quinta Inn & Suites by Wyndham Buena Park
349,Bengkulu,ID,82.45,broken clouds,-3.8,102.27,Grage Hotel Bengkulu
354,Los Palacios,CU,77.0,overcast clouds,22.59,-83.25,
355,Nakhon Phanom,TH,82.4,broken clouds,17.41,104.78,The River Hotel Nakhonphanom
358,Kloulklubed,PW,80.6,overcast clouds,7.04,134.26,Storyboard Beach Resort
359,Avera,US,82.4,clear sky,33.19,-82.53,
362,Hambantota,LK,80.6,broken clouds,6.12,81.12,Bungalow 63
365,Zhanaozen,KZ,82.44,scattered clouds,43.3,52.8,K.korabay 28A
366,San Antero,CO,79.03,overcast clouds,9.37,-75.76,Villamarina Inn chale
371,Sumenep,ID,85.19,overcast clouds,-7.02,113.87,OYO 3271 Homestay Pandian
375,Pano Aqil,PK,89.38,clear sky,27.86,69.11,R.S COTTAGE
378,Palmer,US,75.99,broken clouds,42.16,-72.33,Wedgewood Motel
383,Abu Dhabi,AE,96.8,few clouds,24.47,54.37,Beach Rotana
384,Wanning,CN,88.45,few clouds,18.8,110.4,Paradise Hotel
387,Cabedelo,BR,75.33,clear sky,-6.98,-34.83,Lua Mansa Pousada
394,Port Blair,IN,84.24,overcast clouds,11.67,92.75,Hotel Sentinel
395,Birin,NP,78.8,overcast clouds,26.89,88.07,HOTEL SURYODAYA
398,Shingu,JP,75.2,broken clouds,33.73,135.98,Shingu UI Hotel
400,Yashkul,RU,83.64,overcast clouds,46.17,45.34,
401,Sur,OM,87.04,scattered clouds,22.57,59.53,Sur Plaza Hotel
403,Jining,CN,76.55,overcast clouds,35.41,116.58,Yunhe Star Hotel
404,Victoria,HK,90.0,clear sky,22.29,114.16,Mini Hotel Central
405,Naze,JP,87.8,broken clouds,28.37,129.48,奄美ポートタワーホテル
408,Annau,TM,84.2,broken clouds,37.89,58.52,Buzmein Sokak
410,Caucaia,BR,79.0,few clouds,-3.74,-38.65,M.O.S. Logística - Filial Fortaleza
411,Oussouye,SN,77.0,broken clouds,12.48,-16.55,Auberge du Routard
415,Maumere,ID,83.79,overcast clouds,-8.62,122.21,Sylvia Hotel
422,Ushtobe,KZ,80.56,clear sky,45.25,77.98,"Gostinitsa ""Diyar"""
427,Labuan,MY,86.0,few clouds,5.28,115.24,Tiara Labuan Hotel
432,Palmerston,AU,82.99,clear sky,-12.49,130.98,Quest Palmerston - Serviced Apartments and Accommodation
440,Isabela,PH,86.0,scattered clouds,6.71,121.97,Isawad Resort
442,Tabou,CI,75.42,overcast clouds,4.42,-7.35,hotêl doufoulougou
444,Seymchan,RU,80.58,broken clouds,62.88,152.43,
447,Matara,LK,82.54,overcast clouds,5.95,80.54,Amaloh Boutique Resort
449,Ambulu,ID,82.72,overcast clouds,-8.35,113.61,Hotel Ambulu Jember
450,Bandrele,YT,77.0,broken clouds,-12.91,45.19,Les Baobabs
453,Robstown,US,82.99,broken clouds,27.79,-97.67,Days Inn by Wyndham Robstown
464,Koroni,GR,77.0,few clouds,36.8,21.95,Apartments Xenios Zeus 1
465,Japura,ID,76.98,overcast clouds,-0.32,102.35,KOST dan HOMESTAY RUMAH KITA JOSH
468,Bilma,NE,87.17,broken clouds,18.69,12.92,Expeditions Ténére voyages
472,Marica,BR,75.2,overcast clouds,-22.92,-42.82,Marica Hills
476,Cabano,PH,85.05,broken clouds,10.59,122.7,Fatima Farm and Pearl Resort
478,Si Sa Ket,TH,88.0,overcast clouds,15.11,104.33,Boonsiri Boutique Hotel
479,Malibu,US,79.0,clear sky,34.01,-118.81,Malibu Country Inn
480,Palauig,PH,82.29,overcast clouds,15.44,119.9,Myhousebythesea
481,Kralendijk,BQ,82.4,clear sky,12.15,-68.27,Divi Flamingo Beach Resort & Casino
486,Faanui,PF,78.64,overcast clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
487,Brownwood,US,93.2,clear sky,31.71,-98.99,La Quinta Inn & Suites by Wyndham Brownwood
490,Bandarbeyla,SO,82.2,scattered clouds,9.49,50.81,REER XOOSHLE GROUP
494,Tomigusuku,JP,89.6,broken clouds,26.18,127.67,DoubleTree by Hilton Hotel Naha
496,Westport,US,78.8,clear sky,41.14,-73.36,The Westport Inn
499,Beatrice,US,75.2,clear sky,40.27,-96.75,Victorian Inn Beatrice
500,Komsomolskiy,UZ,80.6,broken clouds,40.43,71.72,Ikathouse
504,Mecca,SA,77.59,broken clouds,21.43,39.83,Hotel Fairmont Makkah Clock Royal Tower
508,Rock Sound,BS,83.35,overcast clouds,24.9,-76.2,Rock Sound Club
516,Pochutla,MX,81.0,overcast clouds,15.74,-96.47,Hotel Posada San Jose
518,Leiyang,CN,93.29,overcast clouds,26.4,112.86,Dongyang Hotel
526,Soma,TR,77.0,clear sky,39.19,27.61,Hotel Labella
527,Lakatoro,VU,82.4,scattered clouds,-16.1,167.42,Lakatoro Palm Lodge
530,Alyangula,AU,75.2,scattered clouds,-13.85,136.42,Groote Eylandt Lodge
532,Ust-Nera,RU,75.09,overcast clouds,64.57,143.2,Hotel Ust-Nera
534,Cortez,US,91.4,clear sky,37.35,-108.59,Sand Canyon National 9 Inn
535,Ewa Beach,US,86.0,scattered clouds,21.32,-158.01,Hampton Inn & Suites Oahu/Kapolei
536,Phan Thiet,VN,86.02,scattered clouds,10.93,108.1,Hotel Saigon-PT
537,Bathsheba,BB,82.4,scattered clouds,13.22,-59.52,Atlantis Hotel
538,Coahuayana,MX,79.75,overcast clouds,18.73,-103.68,Hotel Los Arcos
543,Ipixuna,BR,78.8,broken clouds,-1.76,-48.8,Casa da Oscarina
544,Karaikkudi,IN,84.47,overcast clouds,10.07,78.78,Hotel Meyyappaa
545,Trat,TH,80.6,scattered clouds,12.5,102.5,สวนหนิง-อัศ
548,Cayenne,GF,75.2,few clouds,4.93,-52.33,Hôtel Le Dronmi
549,Athens,GR,78.8,clear sky,37.98,23.72,Novotel Athenes
550,Verkhoyansk,RU,81.93,few clouds,67.54,133.38,
551,Saint-Louis,SN,82.99,scattered clouds,16.33,-15.0,
552,Tahta,EG,80.6,clear sky,26.77,31.5,Møhãmęd Tãręk 🏠
